year,country,unsc,unsc_t1,unsc3,wdicode
2007,NA,0,0,0,TCD
2007,NA,0,0,0,TGO
2007,NA,0,0,0,TUN
2007,NA,0,0,0,TZA
2007,NA,0,0,0,UGA
2007,South Africa,1,0,1,ZAF
2007,NA,0,0,0,ZMB
2007,NA,0,0,0,ZWE
2008,NA,0,0,0,AGO
2008,NA,0,0,0,BDI
2008,NA,0,0,0,BEN
2008,Burkina Faso,1,0,1,BFA
2008,NA,0,0,0,BWA
2008,NA,0,0,0,CAF
2008,NA,0,0,0,CIV
2008,NA,0,0,0,CMR
2008,NA,0,0,0,COD
2008,NA,0,1,1,COG
2008,NA,0,0,0,COM
2008,NA,0,0,0,CPV
2008,NA,0,0,0,DJI
2008,NA,0,0,0,DZA
2008,NA,0,0,0,EGY
2008,NA,0,0,0,ERI
2008,NA,0,0,0,ETH
2008,NA,0,0,0,GAB
2008,NA,0,1,1,GHA
2008,NA,0,0,0,GIN
2008,NA,0,0,0,GMB
2008,NA,0,0,0,GNB
2008,NA,0,0,0,GNQ
2008,NA,0,0,0,KEN
2008,NA,0,0,0,LBR
2008,Libya,1,0,1,LBY
2008,NA,0,0,0,LSO
2008,NA,0,0,0,MAR
2008,NA,0,0,0,MDG
2008,NA,0,0,0,MLI
2008,NA,0,0,0,MOZ
2008,NA,0,0,0,MRT
2008,NA,0,0,0,MUS
2008,NA,0,0,0,MWI
2008,NA,0,0,0,NAM
2008,NA,0,0,0,NER
2008,NA,0,0,0,NGA
2008,NA,0,0,0,RWA
2008,NA,0,0,0,SDN
2008,NA,0,0,0,SEN
2008,NA,0,0,0,SLE
2008,NA,0,0,0,SOM
2008,NA,0,0,0,SSD
2008,NA,0,0,0,STP
2008,NA,0,0,0,SWZ
2008,NA,0,0,0,SYC
2008,NA,0,0,0,TCD
2008,NA,0,0,0,TGO
2008,NA,0,0,0,TUN
2008,NA,0,0,0,TZA
2008,NA,0,0,0,UGA
2008,South Africa,1,1,1,ZAF
2008,NA,0,0,0,ZMB
2008,NA,0,0,0,ZWE
2009,NA,0,0,0,AGO
2009,NA,0,0,0,BDI
2009,NA,0,0,0,BEN
2009,Burkina Faso,1,1,1,BFA
2009,NA,0,0,0,BWA
2009,NA,0,0,0,CAF
2009,NA,0,0,0,CIV
2009,NA,0,0,0,CMR
2009,NA,0,0,0,COD
2009,NA,0,0,0,COG
2009,NA,0,0,0,COM
2009,NA,0,0,0,CPV
2009,NA,0,0,0,DJI
2009,NA,0,0,0,DZA
2009,NA,0,0,0,EGY
2009,NA,0,0,0,ERI
2009,NA,0,0,0,ETH
2009,NA,0,0,0,GAB
2009,NA,0,0,0,GHA
2009,NA,0,0,0,GIN
2009,NA,0,0,0,GMB
2009,NA,0,0,0,GNB
2009,NA,0,0,0,GNQ
2009,NA,0,0,0,KEN
2009,NA,0,0,0,LBR
2009,Libya,1,1,1,LBY
2009,NA,0,0,0,LSO
2009,NA,0,0,0,MAR
2009,NA,0,0,0,MDG
2009,NA,0,0,0,MLI
2009,NA,0,0,0,MOZ
2009,NA,0,0,0,MRT
2009,NA,0,0,0,MUS
2009,NA,0,0,0,MWI
2009,NA,0,0,0,NAM
2009,NA,0,0,0,NER
2009,NA,0,0,0,NGA
2009,NA,0,0,0,RWA
2009,NA,0,0,0,SDN
2009,NA,0,0,0,SEN
2009,NA,0,0,0,SLE
2009,NA,0,0,0,SOM
2009,NA,0,0,0,SSD
2009,NA,0,0,0,STP
2009,NA,0,0,0,SWZ
2009,NA,0,0,0,SYC
2009,NA,0,0,0,TCD
2009,NA,0,0,0,TGO
2009,NA,0,0,0,TUN
2009,NA,0,0,0,TZA
2009,Uganda,1,0,1,UGA
2009,NA,0,1,1,ZAF
2009,NA,0,0,0,ZMB
2009,NA,0,0,0,ZWE
2010,NA,0,0,0,AGO
2010,NA,0,0,0,BDI
2010,NA,0,0,0,BEN
2010,NA,0,1,1,BFA
2010,NA,0,0,0,BWA
2010,NA,0,0,0,CAF
2010,NA,0,0,0,CIV
2010,NA,0,0,0,CMR
2010,NA,0,0,0,COD
2010,NA,0,0,0,COG
2010,NA,0,0,0,COM
2010,NA,0,0,0,CPV
2010,NA,0,0,0,DJI
2010,NA,0,0,0,DZA
2010,NA,0,0,0,EGY
2010,NA,0,0,0,ERI
2010,NA,0,0,0,ETH
2010,Gabon,1,0,1,GAB
2010,NA,0,0,0,GHA
2010,NA,0,0,0,GIN
2010,NA,0,0,0,GMB
2010,NA,0,0,0,GNB
2010,NA,0,0,0,GNQ
2010,NA,0,0,0,KEN
2010,NA,0,0,0,LBR
2010,NA,0,1,1,LBY
2010,NA,0,0,0,LSO
2010,NA,0,0,0,MAR
2010,NA,0,0,0,MDG
2010,NA,0,0,0,MLI
2010,NA,0,0,0,MOZ
2010,NA,0,0,0,MRT
2010,NA,0,0,0,MUS
2010,NA,0,0,0,MWI
2010,NA,0,0,0,NAM
2010,NA,0,0,0,NER
2010,Nigeria,1,0,1,NGA
2010,NA,0,0,0,RWA
2010,NA,0,0,0,SDN
2010,NA,0,0,0,SEN
2010,NA,0,0,0,SLE
2010,NA,0,0,0,SOM
2010,NA,0,0,0,SSD
2010,NA,0,0,0,STP
2010,NA,0,0,0,SWZ
2010,NA,0,0,0,SYC
2010,NA,0,0,0,TCD
2010,NA,0,0,0,TGO
2010,NA,0,0,0,TUN
2010,NA,0,0,0,TZA
2010,Uganda,1,1,1,UGA
2010,NA,0,0,0,ZAF
2010,NA,0,0,0,ZMB
2010,NA,0,0,0,ZWE
2011,NA,0,0,0,AGO
2011,NA,0,0,0,BDI
2011,NA,0,0,0,BEN
2011,NA,0,0,0,BFA
2011,NA,0,0,0,BWA
2011,NA,0,0,0,CAF
2011,NA,0,0,0,CIV
2011,NA,0,0,0,CMR
2011,NA,0,0,0,COD
2011,NA,0,0,0,COG
2011,NA,0,0,0,COM
2011,NA,0,0,0,CPV
2011,NA,0,0,0,DJI
2011,NA,0,0,0,DZA
2011,NA,0,0,0,EGY
2011,NA,0,0,0,ERI
2011,NA,0,0,0,ETH
2011,Gabon,1,1,1,GAB
2011,NA,0,0,0,GHA
2011,NA,0,0,0,GIN
2011,NA,0,0,0,GMB
2011,NA,0,0,0,GNB
2011,NA,0,0,0,GNQ
2011,NA,0,0,0,KEN
2011,NA,0,0,0,LBR
2011,NA,0,0,0,LBY
2011,NA,0,0,0,LSO
2011,NA,0,0,0,MAR
2011,NA,0,0,0,MDG
2011,NA,0,0,0,MLI
2011,NA,0,0,0,MOZ
2011,NA,0,0,0,MRT
2011,NA,0,0,0,MUS
2011,NA,0,0,0,MWI
2011,NA,0,0,0,NAM
2011,NA,0,0,0,NER
2011,Nigeria,1,1,1,NGA
2011,NA,0,0,0,RWA
2011,NA,0,0,0,SDN
2011,NA,0,0,0,SEN
2011,NA,0,0,0,SLE
2011,NA,0,0,0,SOM
2011,NA,0,0,0,SSD
2011,NA,0,0,0,STP
2011,NA,0,0,0,SWZ
2011,NA,0,0,0,SYC
2011,NA,0,0,0,TCD
2011,NA,0,0,0,TGO
2011,NA,0,0,0,TUN
2011,NA,0,0,0,TZA
2011,NA,0,1,1,UGA
2011,South Africa,1,0,1,ZAF
2011,NA,0,0,0,ZMB
2011,NA,0,0,0,ZWE
2012,NA,0,0,0,AGO
2012,NA,0,0,0,BDI
2012,NA,0,0,0,BEN
2012,NA,0,0,0,BFA
2012,NA,0,0,0,BWA
2012,NA,0,0,0,CAF
2012,NA,0,0,0,CIV
2012,NA,0,0,0,CMR
2012,NA,0,0,0,COD
2012,NA,0,0,0,COG
2012,NA,0,0,0,COM
2012,NA,0,0,0,CPV
2012,NA,0,0,0,DJI
2012,NA,0,0,0,DZA
2012,NA,0,0,0,EGY
2012,NA,0,0,0,ERI
2012,NA,0,0,0,ETH
2012,NA,0,1,1,GAB
2012,NA,0,0,0,GHA
2012,NA,0,0,0,GIN
2012,NA,0,0,0,GMB
2012,NA,0,0,0,GNB
2012,NA,0,0,0,GNQ
2012,NA,0,0,0,KEN
2012,NA,0,0,0,LBR
2012,NA,0,0,0,LBY
2012,NA,0,0,0,LSO
2012,Morocco,1,0,1,MAR
2012,NA,0,0,0,MDG
2012,NA,0,0,0,MLI
2012,NA,0,0,0,MOZ
2012,NA,0,0,0,MRT
2012,NA,0,0,0,MUS
2012,NA,0,0,0,MWI
2012,NA,0,0,0,NAM
2012,NA,0,0,0,NER
2012,NA,0,1,1,NGA
2012,NA,0,0,0,RWA
2012,NA,0,0,0,SDN
2012,NA,0,0,0,SEN
2012,NA,0,0,0,SLE
2012,NA,0,0,0,SOM
2012,NA,0,0,0,SSD
2012,NA,0,0,0,STP
2012,NA,0,0,0,SWZ
2012,NA,0,0,0,SYC
2012,NA,0,0,0,TCD
2012,Togo,1,0,1,TGO
2012,NA,0,0,0,TUN
2012,NA,0,0,0,TZA
2012,NA,0,0,0,UGA
2012,South Africa,1,1,1,ZAF
2012,NA,0,0,0,ZMB
2012,NA,0,0,0,ZWE
2013,NA,0,0,0,AGO
2013,NA,0,0,0,BDI
2013,NA,0,0,0,BEN
2013,NA,0,0,0,BFA
2013,NA,0,0,0,BWA
2013,NA,0,0,0,CAF
2013,NA,0,0,0,CIV
2013,NA,0,0,0,CMR
2013,NA,0,0,0,COD
2013,NA,0,0,0,COG
2013,NA,0,0,0,COM
2013,NA,0,0,0,CPV
2013,NA,0,0,0,DJI
2013,NA,0,0,0,DZA
2013,NA,0,0,0,EGY
2013,NA,0,0,0,ERI
2013,NA,0,0,0,ETH
2013,NA,0,0,0,GAB
2013,NA,0,0,0,GHA
2013,NA,0,0,0,GIN
2013,NA,0,0,0,GMB
2013,NA,0,0,0,GNB
2013,NA,0,0,0,GNQ
2013,NA,0,0,0,KEN
2013,NA,0,0,0,LBR
2013,NA,0,0,0,LBY
2013,NA,0,0,0,LSO
2013,Morocco,1,1,1,MAR
2013,NA,0,0,0,MDG
2013,NA,0,0,0,MLI
2013,NA,0,0,0,MOZ
2013,NA,0,0,0,MRT
2013,NA,0,0,0,MUS
2013,NA,0,0,0,MWI
2013,NA,0,0,0,NAM
2013,NA,0,0,0,NER
2013,NA,0,0,0,NGA
2013,Rwanda,1,0,1,RWA
2013,NA,0,0,0,SDN
2013,NA,0,0,0,SEN
2013,NA,0,0,0,SLE
2013,NA,0,0,0,SOM
2013,NA,0,0,0,SSD
2013,NA,0,0,0,STP
2013,NA,0,0,0,SWZ
2013,NA,0,0,0,SYC
2013,NA,0,0,0,TCD
2013,Togo,1,1,1,TGO
2013,NA,0,0,0,TUN
2013,NA,0,0,0,TZA
2013,NA,0,0,0,UGA
2013,NA,0,1,1,ZAF
2013,NA,0,0,0,ZMB
2013,NA,0,0,0,ZWE
2014,NA,0,0,0,AGO
2014,NA,0,0,0,BDI
2014,NA,0,0,0,BEN
2014,NA,0,0,0,BFA
2014,NA,0,0,0,BWA
2014,NA,0,0,0,CAF
2014,NA,0,0,0,CIV
2014,NA,0,0,0,CMR
2014,NA,0,0,0,COD
2014,NA,0,0,0,COG
2014,NA,0,0,0,COM
2014,NA,0,0,0,CPV
2014,NA,0,0,0,DJI
2014,NA,0,0,0,DZA
2014,NA,0,0,0,EGY
2014,NA,0,0,0,ERI
2014,NA,0,0,0,ETH
2014,NA,0,0,0,GAB
2014,NA,0,0,0,GHA
2014,NA,0,0,0,GIN
2014,NA,0,0,0,GMB
2014,NA,0,0,0,GNB
2014,NA,0,0,0,GNQ
2014,NA,0,0,0,KEN
2014,NA,0,0,0,LBR
2014,NA,0,0,0,LBY
2014,NA,0,0,0,LSO
2014,NA,0,1,1,MAR
2014,NA,0,0,0,MDG
2014,NA,0,0,0,MLI
2014,NA,0,0,0,MOZ
2014,NA,0,0,0,MRT
2014,NA,0,0,0,MUS
2014,NA,0,0,0,MWI
2014,NA,0,0,0,NAM
2014,NA,0,0,0,NER
2014,Nigeria,1,0,1,NGA
2014,Rwanda,1,1,1,RWA
2014,NA,0,0,0,SDN
2014,NA,0,0,0,SEN
2014,NA,0,0,0,SLE
2014,NA,0,0,0,SOM
2014,NA,0,0,0,SSD
2014,NA,0,0,0,STP
2014,NA,0,0,0,SWZ
2014,NA,0,0,0,SYC
2014,Chad,1,0,1,TCD
2014,NA,0,1,1,TGO
2014,NA,0,0,0,TUN
2014,NA,0,0,0,TZA
2014,NA,0,0,0,UGA
2014,NA,0,0,0,ZAF
2014,NA,0,0,0,ZMB
2014,NA,0,0,0,ZWE
2015,Angola,1,0,1,AGO
2015,NA,0,0,0,BDI
2015,NA,0,0,0,BEN
2015,NA,0,0,0,BFA
2015,NA,0,0,0,BWA
2015,NA,0,0,0,CAF
2015,NA,0,0,0,CIV
2015,NA,0,0,0,CMR
2015,NA,0,0,0,COD
2015,NA,0,0,0,COG
2015,NA,0,0,0,COM
2015,NA,0,0,0,CPV
2015,NA,0,0,0,DJI
2015,NA,0,0,0,DZA
2015,NA,0,0,0,EGY
2015,NA,0,0,0,ERI
2015,NA,0,0,0,ETH
2015,NA,0,0,0,GAB
2015,NA,0,0,0,GHA
2015,NA,0,0,0,GIN
2015,NA,0,0,0,GMB
2015,NA,0,0,0,GNB
2015,NA,0,0,0,GNQ
2015,NA,0,0,0,KEN
2015,NA,0,0,0,LBR
2015,NA,0,0,0,LBY
2015,NA,0,0,0,LSO
2015,NA,0,0,0,MAR
2015,NA,0,0,0,MDG
2015,NA,0,0,0,MLI
2015,NA,0,0,0,MOZ
2015,NA,0,0,0,MRT
2015,NA,0,0,0,MUS
2015,NA,0,0,0,MWI
2015,NA,0,0,0,NAM
2015,NA,0,0,0,NER
2015,Nigeria,1,1,1,NGA
2015,NA,0,1,1,RWA
2015,NA,0,0,0,SDN
2015,NA,0,0,0,SEN
2015,NA,0,0,0,SLE
2015,NA,0,0,0,SOM
2015,NA,0,0,0,SSD
2015,NA,0,0,0,STP
2015,NA,0,0,0,SWZ
2015,NA,0,0,0,SYC
2015,Chad,1,1,1,TCD
2015,NA,0,0,0,TGO
2015,NA,0,0,0,TUN
2015,NA,0,0,0,TZA
2015,NA,0,0,0,UGA
2015,NA,0,0,0,ZAF
2015,NA,0,0,0,ZMB
2015,NA,0,0,0,ZWE
2016,Angola,1,1,1,AGO
2016,NA,0,0,0,BDI
2016,NA,0,0,0,BEN
2016,NA,0,0,0,BFA
2016,NA,0,0,0,BWA
2016,NA,0,0,0,CAF
2016,NA,0,0,0,CIV
2016,NA,0,0,0,CMR
2016,NA,0,0,0,COD
2016,NA,0,0,0,COG
2016,NA,0,0,0,COM
2016,NA,0,0,0,CPV
2016,NA,0,0,0,DJI
2016,NA,0,0,0,DZA
2016,Egypt,1,0,1,EGY
2016,NA,0,0,0,ERI
2016,NA,0,0,0,ETH
2016,NA,0,0,0,GAB
2016,NA,0,0,0,GHA
2016,NA,0,0,0,GIN
2016,NA,0,0,0,GMB
2016,NA,0,0,0,GNB
2016,NA,0,0,0,GNQ
2016,NA,0,0,0,KEN
2016,NA,0,0,0,LBR
2016,NA,0,0,0,LBY
2016,NA,0,0,0,LSO
2016,NA,0,0,0,MAR
2016,NA,0,0,0,MDG
2016,NA,0,0,0,MLI
2016,NA,0,0,0,MOZ
2016,NA,0,0,0,MRT
2016,NA,0,0,0,MUS
2016,NA,0,0,0,MWI
2016,NA,0,0,0,NAM
2016,NA,0,0,0,NER
2016,NA,0,1,1,NGA
2016,NA,0,0,0,RWA
2016,NA,0,0,0,SDN
2016,Senegal,1,0,1,SEN
2016,NA,0,0,0,SLE
2016,NA,0,0,0,SOM
2016,NA,0,0,0,SSD
2016,NA,0,0,0,STP
2016,NA,0,0,0,SWZ
2016,NA,0,0,0,SYC
2016,NA,0,1,1,TCD
2016,NA,0,0,0,TGO
2016,NA,0,0,0,TUN
2016,NA,0,0,0,TZA
2016,NA,0,0,0,UGA
2016,NA,0,0,0,ZAF
2016,NA,0,0,0,ZMB
2016,NA,0,0,0,ZWE
2017,NA,0,1,1,AGO
2017,NA,0,0,0,BDI
2017,NA,0,0,0,BEN
2017,NA,0,0,0,BFA
2017,NA,0,0,0,BWA
2017,NA,0,0,0,CAF
2017,NA,0,0,0,CIV
2017,NA,0,0,0,CMR
2017,NA,0,0,0,COD
2017,NA,0,0,0,COG
2017,NA,0,0,0,COM
2017,NA,0,0,0,CPV
2017,NA,0,0,0,DJI
2017,NA,0,0,0,DZA
2017,Egypt,1,1,1,EGY
2017,NA,0,0,0,ERI
2017,Ethiopia,1,0,1,ETH
2017,NA,0,0,0,GAB
2017,NA,0,0,0,GHA
2017,NA,0,0,0,GIN
2017,NA,0,0,0,GMB
2017,NA,0,0,0,GNB
2017,NA,0,0,0,GNQ
2017,NA,0,0,0,KEN
2017,NA,0,0,0,LBR
2017,NA,0,0,0,LBY
2017,NA,0,0,0,LSO
2017,NA,0,0,0,MAR
2017,NA,0,0,0,MDG
2017,NA,0,0,0,MLI
2017,NA,0,0,0,MOZ
2017,NA,0,0,0,MRT
2017,NA,0,0,0,MUS
2017,NA,0,0,0,MWI
2017,NA,0,0,0,NAM
2017,NA,0,0,0,NER
2017,NA,0,0,0,NGA
2017,NA,0,0,0,RWA
2017,NA,0,0,0,SDN
2017,Senegal,1,1,1,SEN
2017,NA,0,0,0,SLE
2017,NA,0,0,0,SOM
2017,NA,0,0,0,SSD
2017,NA,0,0,0,STP
2017,NA,0,0,0,SWZ
2017,NA,0,0,0,SYC
2017,NA,0,0,0,TCD
2017,NA,0,0,0,TGO
2017,NA,0,0,0,TUN
2017,NA,0,0,0,TZA
2017,NA,0,0,0,UGA
2017,NA,0,0,0,ZAF
2017,NA,0,0,0,ZMB
2017,NA,0,0,0,ZWE
