Global Code;Global Name;Region Code;Region Name;Sub-region Code;Sub-region Name;Intermediate Region Code;Intermediate Region Name;Country or Area;M49 Code;ISO-alpha2 Code;ISO-alpha3 Code;Least Developed Countries (LDC);Land Locked Developing Countries (LLDC);Small Island Developing States (SIDS)
1;World;2;Africa;202;Sub-Saharan Africa;18;Southern Africa;Botswana;72;BW;BWA;;x;
1;World;2;Africa;202;Sub-Saharan Africa;18;Southern Africa;Eswatini;748;SZ;SWZ;;x;
1;World;2;Africa;202;Sub-Saharan Africa;18;Southern Africa;Lesotho;426;LS;LSO;x;x;
1;World;2;Africa;202;Sub-Saharan Africa;18;Southern Africa;Namibia;516;NA;NAM;;;
1;World;2;Africa;202;Sub-Saharan Africa;18;Southern Africa;South Africa;710;ZA;ZAF;;;
1;World;2;Africa;202;Sub-Saharan Africa;11;Western Africa;Benin;204;BJ;BEN;x;;
1;World;2;Africa;202;Sub-Saharan Africa;11;Western Africa;Burkina Faso;854;BF;BFA;x;x;
1;World;2;Africa;202;Sub-Saharan Africa;11;Western Africa;Cabo Verde;132;CV;CPV;;;x
1;World;2;Africa;202;Sub-Saharan Africa;11;Western Africa;Côte d’Ivoire;384;CI;CIV;;;
1;World;2;Africa;202;Sub-Saharan Africa;11;Western Africa;Gambia;270;GM;GMB;x;;
1;World;2;Africa;202;Sub-Saharan Africa;11;Western Africa;Ghana;288;GH;GHA;;;
1;World;2;Africa;202;Sub-Saharan Africa;11;Western Africa;Guinea;324;GN;GIN;x;;
1;World;2;Africa;202;Sub-Saharan Africa;11;Western Africa;Guinea-Bissau;624;GW;GNB;x;;x
1;World;2;Africa;202;Sub-Saharan Africa;11;Western Africa;Liberia;430;LR;LBR;x;;
1;World;2;Africa;202;Sub-Saharan Africa;11;Western Africa;Mali;466;ML;MLI;x;x;
1;World;2;Africa;202;Sub-Saharan Africa;11;Western Africa;Mauritania;478;MR;MRT;x;;
1;World;2;Africa;202;Sub-Saharan Africa;11;Western Africa;Niger;562;NE;NER;x;x;
1;World;2;Africa;202;Sub-Saharan Africa;11;Western Africa;Nigeria;566;NG;NGA;;;
1;World;2;Africa;202;Sub-Saharan Africa;11;Western Africa;Saint Helena;654;SH;SHN;;;
1;World;2;Africa;202;Sub-Saharan Africa;11;Western Africa;Senegal;686;SN;SEN;x;;
1;World;2;Africa;202;Sub-Saharan Africa;11;Western Africa;Sierra Leone;694;SL;SLE;x;;
1;World;2;Africa;202;Sub-Saharan Africa;11;Western Africa;Togo;768;TG;TGO;x;;
